altogether,full,atleastone,region
Victoria Melbourne - Outer East 46.2% 21.6%,21.6,46.2,Melbourne - Outer East
Victoria Melbourne - South East 38.4% 18.6%,18.6,38.4,Melbourne - South East
Victoria Melbourne - West 37.2% 18.6%,18.6,37.2,Melbourne - West
Victoria Mornington Peninsula 50.3% 24.2%,24.2,50.3,Mornington Peninsula
Victoria North West 48.1% 22.8%,22.8,48.1,North West
Victoria Shepparton 48.2% 22.5%,22.5,48.2,Shepparton
Victoria Warrnambool and South West 54.5% 27.5%,27.5,54.5,Warrnambool and South West
Western Australia Bunbury 41.4% 19.0%,19.0,41.4,Bunbury
Western Australia Mandurah 42.4% 20.2%,20.2,42.4,Mandurah
Western Australia Perth - Inner 51.6% 29.9%,29.9,51.6,Perth - Inner
Western Australia Perth - North East 36.6% 17.0%,17.0,36.6,Perth - North East
Western Australia Perth - North West 41.6% 20.1%,20.1,41.6,Perth - North West
Western Australia Perth - South East 37.2% 18.2%,18.2,37.2,Perth - South East
Western Australia Perth - South West 40.6% 20.8%,20.8,40.6,Perth - South West
Western Australia Western Australia - Wheat Belt 39.4% 17.6%,17.6,39.4,Western Australia - Wheat Belt
Western Australia Western Australia - Outback (North) 19.5% 9.9%,9.9,19.5,Western Australia - Outback (North)
Western Australia Western Australia - Outback (South) 32.0% 15.4%,15.4,32.0,Western Australia - Outback (South)
Other Territories Other Territories 46.2% 27.3%,27.3,46.2,Other Territories
